DATE-YMD,chlorophyll
11/15/11,0.142
12/15/11,0.132
1/15/12,0.135
2/15/12,0.135
3/15/12,0.161
4/15/12,0.151
5/15/12,0.144
6/15/12,0.143
7/15/12,0.147
8/15/12,0.151
9/15/12,0.154
10/15/12,0.152
11/15/12,0.147
12/15/12,0.147
1/15/13,0.147
2/15/13,0.141
3/15/13,0.135
4/15/13,0.138
5/15/13,0.142
6/15/13,0.152
7/15/13,0.157
8/15/13,0.154
9/15/13,0.143
10/15/13,0.146
11/15/13,0.138
12/15/13,0.142
1/15/14,0.144
2/15/14,0.142
3/15/14,0.126
4/15/14,0.12
5/15/14,0.125
6/15/14,0.134
7/15/14,0.144
8/15/14,0.143
9/15/14,0.133
10/15/14,0.13
11/15/14,0.125
12/15/14,0.132
1/15/15,0.138
2/15/15,0.131
3/15/15,0.13
4/15/15,0.119
5/15/15,0.121
6/15/15,0.12
7/15/15,0.12
8/15/15,0.108
9/15/15,0.106
10/15/15,0.096
11/15/15,0.079
12/15/15,0.089
1/15/16,0.098
2/15/16,0.103
3/15/16,0.129
4/15/16,0.124
5/15/16,0.142
6/15/16,0.151
7/15/16,0.161
8/15/16,0.158
9/15/16,0.15
10/15/16,0.14
11/15/16,0.134
12/15/16,0.14
1/15/17,0.142
2/15/17,0.135
3/15/17,0.137
4/15/17,0.144
5/15/17,0.142
6/15/17,0.146
7/15/17,0.156
8/15/17,0.165
9/15/17,0.156
10/15/17,0.143
11/15/17,0.148
12/15/17,0.148
1/15/18,0.145
2/15/18,0.139
3/15/18,0.135
4/15/18,0.13
5/15/18,0.131
6/15/18,0.133
7/15/18,0.138
8/15/18,0.142
9/15/18,0.137
10/15/18,0.121
11/15/18,0.124
12/15/18,0.127
1/15/19,0.135
2/15/19,0.133
3/15/19,0.128
4/15/19,0.146
5/15/19,0.138
6/15/19,0.149
7/15/19,0.152
8/15/19,0.153
9/15/19,0.149
10/15/19,0.132
11/15/19,0.132
12/15/19,0.143
1/15/20,0.146
2/15/20,0.142
3/15/20,0.133
4/15/20,0.13
5/15/20,0.155
6/15/20,0.16
7/15/20,0.155
8/15/20,0.164
9/15/20,0.157
10/15/20,0.159
11/15/20,0.154
12/15/20,0.155
1/15/21,0.148
2/15/21,0.143
3/15/21,0.143
4/15/21,0.143
5/15/21,0.14
6/15/21,0.146
7/15/21,0.152
8/15/21,0.154
9/15/21,0.149
10/15/21,0.156
11/15/21,0.153
12/15/21,0.155
1/15/22,0.16
2/15/22,0.152
3/15/22,0.14
4/15/22,0.159
5/15/22,0.169
6/15/22,0.157
7/15/22,0.157
8/15/22,0.158
9/15/22,0.152
10/15/22,0.14
11/15/22,0.146
12/15/22,0.151
1/15/23,0.143
2/15/23,0.139
3/15/23,0.116
4/15/23,0.106
5/15/23,0.122
6/15/23,0.13
7/15/23,0.132
8/15/23,0.12
9/15/23,0.105
